Waktu;Beras;Beras_Kualitas_Bawah_I;Beras_Kualitas_Bawah_II;Beras_Kualitas_Medium_I;Beras_Kualitas_Medium_II ;Beras_Kualitas_Super_I ;Beras_Kualitas_Super_II ;Daging_Ayam;Daging_Ayam_Ras_Segar;Daging_Sapi;Daging_Sapi_Kualitas_1;Daging_Sapi_Kualitas_2 ;Telur_Ayam;"Telur_Ayam_Ras_Segar
 (kg)";Bawang_Merah;Bawang_Merah_Ukuran_Sedang;Bawang_Putih;Bawang_Putih_Ukuran_Sedang;Cabai_Merah;Cabai_Merah_Besar ;Cabai_Merah_Keriting  ;Cabai_Rawit;Cabai_Rawit_Hijau;Cabai_Rawit_Merah ;Minyak_Goreng;Minyak_Goreng_Curah ;Minyak_Goreng_Kemasan_Bermerk_1 ;Minyak_Goreng_Kemasan_Bermerk_2 ;Gula_Pasir;Gula_Pasir_Kualitas_Premium;Gula_Pasir_Lokal 
Des 2018 (III);11350;10000;9500;11500;11000;13500;12500;34800;34800;112500;115000;110000;25000;25000;25200;25200;24800;24800;29850;35500;24200;29700;24500;34900;11650;9500;12500;13000;12000;13000;11000
Des 2018 (IV);11350;10000;9500;11500;11000;13500;12500;38500;38500;112500;115000;110000;27400;27400;27000;27000;25400;25400;32150;38150;26150;35800;23250;48400;11650;9500;12500;13000;12000;13000;11000
Des 2018 (V);11350;10000;9500;11500;11000;13500;12500;38150;38150;112500;115000;110000;25850;25850;27850;27850;24000;24000;32900;38350;27500;28400;19350;37500;11650;9500;12500;13000;12000;13000;11000
Jan 2019 (I);11350;10000;9500;11500;11000;13500;12500;35000;35000;112500;115000;110000;24700;24700;28000;28000;24800;24800;31400;38700;24100;23550;18400;28700;11650;9500;12500;13000;12000;13000;11000
Jan 2019 (II);11350;10000;9500;11500;11000;13500;12500;33700;33700;112500;115000;110000;23400;23400;28000;28000;25600;25600;26250;33000;19500;23050;17600;28500;11650;9500;12500;13000;12000;13000;11000
Jan 2019 (III);11350;10000;9500;11500;11000;13500;12500;33800;33800;112500;115000;110000;23800;23800;24600;24600;26900;26900;21900;28300;15500;20000;15500;24500;11650;9500;12500;13000;12000;13000;11000
Jan 2019 (IV);11350;10000;9500;11500;11000;13500;12500;32900;32900;112500;115000;110000;23100;23100;20200;20200;26800;26800;22700;27500;17900;17750;15500;20000;11650;9500;12500;13000;12000;13000;11000
Feb 2019 (I);11350;10000;9500;11500;11000;13500;12500;32500;32500;112500;115000;110000;23250;23250;18500;18500;28000;28000;20900;25000;16750;18500;18000;19000;11650;9500;12500;13000;12000;13000;11000
Feb 2019 (II);11350;10000;9500;11500;11000;13500;12500;32100;32100;112500;115000;110000;22500;22500;17900;17900;33500;33500;21350;27500;15200;18300;18200;18400;11750;9750;12500;13000;12000;13000;11000
Feb 2019 (III);11350;10000;9500;11500;11000;13500;12500;32000;32000;112500;115000;110000;22000;22000;19600;19600;34000;34000;20350;24500;16200;20100;19000;21200;11750;9750;12500;13000;12050;13000;11100
Feb 2019 (IV);11350;10000;9500;11500;11000;13500;12500;32000;32000;112500;115000;110000;22500;22500;22400;22400;34500;34500;18650;21500;15800;20350;19100;21600;11650;9550;12500;13000;12250;13000;11500
Mar 2019 (I);11350;10000;9500;11500;11000;13500;12500;31650;31650;112500;115000;110000;23000;23000;27150;27150;36000;36000;18500;21500;15500;22150;20750;23500;11650;9500;12500;13000;12250;13000;11500
